Time (s) Auto,Angle (rad) Run #2
31.04,23.99827375
31.06,23.9110073
31.08,23.82374085
31.1,23.75392769
31.12,23.66666124
31.14,23.57939479
31.16,23.49212834
31.18,23.40486189
31.2,23.30014215
31.22,23.2128757
31.24,23.12560925
31.26,23.02088951
31.28,22.93362306
31.3,22.82890332
31.32,22.72418358
31.34,22.63691713
31.36,22.53219739
31.38,22.42747765
31.4,22.32275791
31.42,22.21803817
31.44,22.11331843
31.46,22.02605198
31.48,21.92133224
31.5,21.8166125
31.52,21.71189276
31.54,21.60717302
31.56,21.50245328
31.58,21.39773354
31.6,21.2930138
31.62,21.18829406
31.64,21.08357432
31.66,20.97885458
31.68,20.87413484
31.7,20.7694151
31.72,20.66469536
31.74,20.55997562
31.76,20.45525588
31.78,20.35053614
31.8,20.26326969
31.82,20.15854995
31.84,20.05383021
31.86,19.96656376
31.88,19.86184402
31.9,19.77457757
31.92,19.68731112
31.94,19.58259138
31.96,19.49532493
31.98,19.40805848
32,19.32079203
32.02,19.23352558
32.04,19.14625913
32.06,19.05899268
32.08,18.98917952
32.1,18.90191307
32.12,18.83209991
32.14,18.74483346
32.16,18.6750203
32.18,18.60520714
32.2,18.53539398
32.22,18.46558082
32.24,18.41322095
32.26,18.34340779
32.28,18.29104792
32.3,18.22123476
32.32,18.16887489
32.34,18.11651502
32.36,18.06415515
32.38,18.01179528
32.4,17.95943541
32.42,17.92452883
32.44,17.88962225
32.46,17.83726238
32.48,17.8023558
32.5,17.76744922
32.52,17.74999593
32.54,17.71508935
32.56,17.69763606
32.58,17.66272948
32.6,17.64527619
32.62,17.6278229
32.64,17.61036961
32.66,17.61036961
32.68,17.59291632
32.7,17.59291632
32.72,17.57546303
32.74,17.57546303
32.76,17.57546303
32.78,17.59291632
32.8,17.59291632
32.82,17.61036961
32.84,17.61036961
32.86,17.6278229
32.88,17.64527619
32.9,17.66272948
32.92,17.68018277
32.94,17.71508935
32.96,17.73254264
32.98,17.76744922
33,17.8023558
33.02,17.83726238
33.04,17.87216896
33.06,17.90707554
33.08,17.94198212
33.1,17.99434199
33.12,18.02924857
33.14,18.08160844
33.16,18.13396831
33.18,18.16887489
33.2,18.23868805
33.22,18.29104792
33.24,18.34340779
33.26,18.39576766
33.28,18.46558082
33.3,18.51794069
33.32,18.58775385
33.34,18.65756701
33.36,18.70992688
33.38,18.77974004
33.4,18.8495532
33.42,18.93681965
33.44,19.00663281
33.46,19.07644597
33.48,19.14625913
33.5,19.23352558
33.52,19.30333874
33.54,19.39060519
33.56,19.46041835
33.58,19.5476848
33.6,19.61749796
33.62,19.70476441
33.64,19.79203086
33.66,19.87929731
33.68,19.94911047
33.7,20.03637692
33.72,20.12364337
33.74,20.21090982
33.76,20.29817627
33.78,20.38544272
33.8,20.47270917
33.82,20.55997562
33.84,20.64724207
33.86,20.73450852
33.88,20.82177497
33.9,20.90904142
33.92,20.97885458
33.94,21.06612103
33.96,21.15338748
33.98,21.24065393
34,21.32792038
34.02,21.41518683
34.04,21.50245328
34.06,21.57226644
34.08,21.65953289
34.1,21.74679934
34.12,21.8166125
34.14,21.90387895
34.16,21.9911454
34.18,22.06095856
34.2,22.14822501
34.22,22.21803817
34.24,22.28785133
34.26,22.35766449
34.28,22.44493094
34.3,22.5147441
34.32,22.58455726
34.34,22.65437042
34.36,22.70673029
34.38,22.77654345
34.4,22.84635661
34.42,22.91616977
34.44,22.96852964
34.46,23.02088951
34.48,23.09070267
34.5,23.14306254
34.52,23.19542241
34.54,23.24778228
34.56,23.30014215
34.58,23.35250202
34.6,23.40486189
34.62,23.43976847
34.64,23.49212834
34.66,23.52703492
34.68,23.5619415
34.7,23.59684808
34.72,23.63175466
34.74,23.66666124
34.76,23.70156782
34.78,23.7364744
34.8,23.75392769
34.82,23.78883427
34.84,23.80628756
34.86,23.82374085
34.88,23.84119414
34.9,23.85864743
34.92,23.87610072
34.94,23.89355401
34.96,23.89355401
34.98,23.9110073
35,23.9110073
35.02,23.9110073
35.04,23.9110073
35.06,23.9110073
35.08,23.9110073
35.1,23.9110073
35.12,23.89355401
35.14,23.89355401
35.16,23.87610072
35.18,23.85864743
35.2,23.84119414
35.22,23.82374085
35.24,23.80628756
35.26,23.78883427
35.28,23.77138098
35.3,23.7364744
35.32,23.71902111
35.34,23.68411453
35.36,23.64920795
35.38,23.63175466
35.4,23.59684808
35.42,23.5619415
35.44,23.52703492
35.46,23.47467505
35.48,23.43976847
35.5,23.40486189
35.52,23.35250202
35.54,23.31759544
35.56,23.26523557
35.58,23.2128757
35.6,23.16051583
35.62,23.10815596
35.64,23.05579609
35.66,23.00343622
35.68,22.95107635
35.7,22.89871648
35.72,22.84635661
35.74,22.77654345
35.76,22.72418358
35.78,22.65437042
35.8,22.60201055
35.82,22.53219739
35.84,22.47983752
35.86,22.41002436
35.88,22.3402112
35.9,22.28785133
35.92,22.21803817
35.94,22.14822501
35.96,22.07841185
35.98,22.00859869
36,21.93878553
36.02,21.86897237
36.04,21.79915921
36.06,21.72934605
36.08,21.65953289
36.1,21.58971973
36.12,21.51990657
36.14,21.45009341
36.16,21.38028025
36.18,21.31046709
36.2,21.24065393
36.22,21.17084077
36.24,21.10102761
36.26,21.03121445
36.28,20.96140129
36.3,20.89158813
36.32,20.82177497
36.34,20.75196181
36.36,20.68214865
36.38,20.61233549
36.4,20.55997562
36.42,20.49016246
36.44,20.4203493
36.46,20.35053614
